CPU_Usage,Memory_Usage,Network_IO,Status
1.63E-05,263.8121369,18.50388488,0
1.63E-05,263.8121369,18.50388488,0
1.43E-05,231.0648066,16.84344637,0
1.45E-05,229.6856162,15.9021926,0
1.45E-05,229.6856162,15.9021926,0
1.55E-05,246.4095355,15.9021926,0
1.55E-05,246.4095355,16.75984201,0
1.55E-05,246.4095355,16.75984201,0
1.57E-05,255.477336,17.79027382,0
1.57E-05,255.477336,17.79027382,0
1.57E-05,255.477336,17.79027382,0
1.57E-05,255.1632771,17.91022122,0
1.57E-05,255.1632771,17.91022122,0
1.57E-05,255.1632771,17.91022122,0
1.43E-05,236.6577778,16.34500366,0
1.43E-05,239.578198,16.34500366,0
1.43E-05,239.578198,16.34500366,0
1.49E-05,255.5368395,10.04444444,0
1.30E-05,224.3192235,15.74035557,0
1.30E-05,224.3192235,15.74035557,0
1.22E-05,208.9129742,14.73028481,0
1.22E-05,208.9129742,13.38343413,0
1.22E-05,208.9129742,13.38343413,0
1.25E-05,207.9557282,12.83540707,0
1.25E-05,207.9557282,12.83540707,0
1.25E-05,207.9557282,12.83540707,0
1.68E-05,279.6321976,13.6926725,0
1.68E-05,279.6321976,18.02355981,0
1.68E-05,279.6321976,18.02355981,0
1.63E-05,268.5790407,17.95557649,0
1.60E-05,255.3679643,17.13536184,0
1.60E-05,255.3679643,17.13536184,0
1.62E-05,265.3892505,17.32097584,0
1.62E-05,265.3892505,18.99616515,0
1.62E-05,265.3892505,18.99616515,0
1.35E-05,226.7049277,17.15195236,0
1.35E-05,226.7049277,17.15195236,0
1.35E-05,226.7049277,17.15195236,0
1.00E-05,165.07481,12.94086544,0
1.20E-05,200.0260451,12.94086544,0
1.20E-05,200.0260451,12.94086544,0
1.49E-05,255.0192385,17.02139543,0
1.49E-05,255.0192385,17.63943852,0
1.49E-05,255.0192385,17.63943852,0
1.50E-05,254.5166452,15.82749432,0
1.30E-05,218.9680124,15.34728363,0
1.30E-05,218.9680124,15.34728363,0
1.47E-05,249.1825219,18.0326182,0
1.50E-05,253.9800648,18.0326182,0
1.50E-05,253.9800648,18.0326182,0
1.62E-05,272.8559612,17.04545455,0
1.46E-05,240.9270043,17.04545455,0
1.46E-05,240.9270043,17.04545455,0
1.46E-05,240.9270043,13.6344989,0
1.10E-05,181.4228421,13.6344989,0
1.10E-05,181.4228421,13.6344989,0
1.38E-05,214.3875918,15.00579327,0
1.38E-05,214.3875918,15.00579327,0
1.38E-05,214.3875918,15.00579327,0
1.20E-05,186.410279,14.13194759,0
1.98E-05,797.3187989,14.13194759,0
1.98E-05,797.3187989,14.13194759,0
1.88E-05,695.2882773,16.734206,0
2.11E-05,834.1508224,16.734206,0
2.11E-05,834.1508224,16.734206,0
1.83E-05,726.3215358,17.7206905,0
3.35E-05,1380.547765,17.7206905,0
3.35E-05,1380.547765,17.7206905,0
2.94E-05,1156.867624,17.70482653,0
3.16E-05,1339.28074,17.70482653,0
3.16E-05,1339.28074,17.70482653,0
2.66E-05,811.1711317,18.29130598,0
2.66E-05,811.1711317,18.29130598,0
2.66E-05,811.1711317,18.29130598,0
2.36E-05,683.5598515,17.82599482,0
2.55E-05,778.5906971,17.82599482,0
2.55E-05,778.5906971,17.82599482,0
1.37E-05,231.6781393,16.432333,0
1.55E-05,257.4632495,17.91755937,0
1.55E-05,257.4632495,17.91755937,0
1.43E-05,674.4468457,16.57860135,0
1.49E-05,786.2743258,16.57860135,0
1.49E-05,786.2743258,16.57860135,0
1.24E-05,834.4541226,12.9361101,0
