"Time","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 21:40:20,106.58165515737025,,,106.58165515737025,,
2020-06-03 21:40:40,130.0939135626008,,,130.0939135626008,,
2020-06-03 21:41:00,153.6061719678314,0,0,153.6061719678314,0,0
2020-06-03 21:41:20,177.11843037306195,0,0,177.11843037306195,0,0
2020-06-03 21:41:40,95.13658586478469,0,0,95.13658586478469,0,0
2020-06-03 21:42:00,106.16138628252128,0,0,106.16138628252128,0,0
2020-06-03 21:42:20,117.18618670025786,0,0,117.18618670025786,0,0
2020-06-03 21:42:40,85.53826599090766,0,0,85.53826599090766,0,0
2020-06-03 21:43:00,92.89450856013285,0,0,92.89450856013285,0,0
2020-06-03 21:43:20,89.61938019096631,173.6104454282355,0,89.61938019096631,173.6104454282355,0
2020-06-03 21:43:40,89.61938019096631,188.1228399556172,0,89.61938019096631,188.1228399556172,0
2020-06-03 21:44:00,89.61938019096631,170.08483479430782,2632.503534855821,89.61938019096631,170.08483479430782,2632.503534855821
2020-06-03 21:44:20,0,170.08483479430782,2632.503534855821,0,170.08483479430782,2632.503534855821
2020-06-03 21:44:40,0,170.08483479430782,2632.503534855821,0,170.08483479430782,2632.503534855821
2020-06-03 21:45:00,0,174.29342229560098,60293.77844195098,0,174.29342229560098,60293.77844195098
2020-06-03 21:45:20,0,174.29342229560098,60293.77844195098,0,174.29342229560098,60293.77844195098
2020-06-03 21:45:40,0,174.29342229560098,60293.77844195098,0,174.29342229560098,60293.77844195098
2020-06-03 21:46:00,0,837.6168783421006,53922.205400997445,0,837.6168783421006,53922.205400997445
2020-06-03 21:46:20,811.0171169510388,837.6168783421006,53922.205400997445,811.0171169510388,837.6168783421006,53922.205400997445
2020-06-03 21:46:40,1027.6943841222326,837.6168783421006,66535.89252357699,1027.6943841222326,837.6168783421006,66535.89252357699
2020-06-03 21:47:00,1027.6943841222326,726.7195447129002,62278.71768932918,1027.6943841222326,726.7195447129002,62278.71768932918
2020-06-03 21:47:20,1916.441900148621,643.6416567420933,62278.71768932918,1916.441900148621,643.6416567420933,62278.71768932918
2020-06-03 21:47:40,2248.441990377474,643.6416567420933,62278.71768932918,2248.441990377474,643.6416567420933,62278.71768932918
2020-06-03 21:48:00,2248.441990377474,529.7627354011306,49477.56739965168,2248.441990377474,529.7627354011306,49477.56739965168
2020-06-03 21:48:20,2396.68258100625,645.4486267712225,55869.746890158975,2396.68258100625,645.4486267712225,55869.746890158975
2020-06-03 21:48:40,2396.68258100625,543.2246986311887,55869.746890158975,2396.68258100625,543.2246986311887,55869.746890158975
2020-06-03 21:49:00,2396.68258100625,670.8242646266567,1592.4390684634466,2396.68258100625,670.8242646266567,1592.4390684634466
