"Time","tcss600threads-854bc8697c-jd8d4","tcss600posts-684d4857dc-tdkfz","tcss600users-5cc6c5d95d-svbrh","tcss600threads-854bc8697c-8nm64","tcss600users-5cc6c5d95d-s9nk5","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600users-5cc6c5d95d-nk8rl","tcss600threads-854bc8697c-wnx4s","tcss600posts-684d4857dc-tdkfz","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600threads-854bc8697c-jd8d4","tcss600threads-854bc8697c-8nm64","tcss600threads-854bc8697c-wnx4s","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 23:29:20,60061.05720306728,742.9398192087534,265.38925052589747,65257.9074792388,343.0500127722478,62035.25852080919,1052.9432008060269,284.86802271351195,63324.848604840336,742.9398192087534,62035.25852080919,1052.9432008060269,60061.05720306728,65257.9074792388,63324.848604840336,265.38925052589747,343.0500127722478,284.86802271351195
2020-06-03 23:29:40,60061.05720306728,742.9398192087534,265.38925052589747,65257.9074792388,343.0500127722478,62035.25852080919,1052.9432008060269,284.86802271351195,63324.848604840336,742.9398192087534,62035.25852080919,1052.9432008060269,60061.05720306728,65257.9074792388,63324.848604840336,265.38925052589747,343.0500127722478,284.86802271351195
2020-06-03 23:30:00,60061.05720306728,742.9398192087535,265.38925052589747,50890.595710989146,263.6955848210873,50564.80915304444,920.1599496787527,303.07066222715497,55606.76870405729,742.9398192087535,50564.80915304444,920.1599496787527,60061.05720306728,50890.595710989146,55606.76870405729,265.38925052589747,263.6955848210873,303.07066222715497
2020-06-03 23:30:20,59092.18823982938,708.1150132226051,226.7049276645748,63547.07351182805,263.6955848210873,60095.21656277252,1118.3124503828658,303.07066222715497,62974.13952648566,708.1150132226051,60095.21656277252,1118.3124503828658,59092.18823982938,63547.07351182805,62974.13952648566,226.7049276645748,263.6955848210873,303.07066222715497
2020-06-03 23:30:40,59092.18823982938,59418.341568755124,226.70492766457483,63547.07351182805,263.6955848210873,60095.21656277252,1118.3124503828658,303.07066222715497,62974.13952648566,59418.341568755124,60095.21656277252,1118.3124503828658,59092.18823982938,63547.07351182805,62974.13952648566,226.70492766457483,263.6955848210873,303.07066222715497
2020-06-03 23:31:00,59092.18823982938,59418.341568755124,226.70492766457483,83116.03797566287,283.55486056815215,82633.55002748,51.40067680904197,330.77465806407736,52901.609583797894,59418.341568755124,82633.55002748,51.40067680904197,59092.18823982938,83116.03797566287,52901.609583797894,226.70492766457483,283.55486056815215,330.77465806407736
2020-06-03 23:31:20,181.9033315569336,49002.042612777026,165.07480999073803,120317.02877155831,283.55486056815215,59873.18134906452,51.40067680904197,330.77465806407736,145.19788253087978,49002.042612777026,59873.18134906452,51.40067680904197,181.9033315569336,120317.02877155831,145.19788253087978,165.07480999073803,283.55486056815215,330.77465806407736
2020-06-03 23:31:40,181.9033315569336,60343.44643432622,200.02604505795026,120317.02877155831,283.55486056815215,59873.18134906452,51.40067680904197,330.77465806407736,145.19788253087978,60343.44643432622,59873.18134906452,51.40067680904197,181.9033315569336,120317.02877155831,145.19788253087978,200.02604505795026,283.55486056815215,330.77465806407736
2020-06-03 23:32:00,181.9033315569336,60343.44643432622,200.02604505795026,150175.5708199827,281.78921705629676,57490.59182000253,52.83252502321741,325.6493194019609,158.79525130520187,60343.44643432622,57490.59182000253,52.83252502321741,181.9033315569336,150175.5708199827,158.79525130520187,200.02604505795026,281.78921705629676,325.6493194019609
2020-06-03 23:32:20,187.2371548729201,62165.53087447329,255.01923851188965,171369.27531664268,281.78921705629676,57490.59182000253,52.83252502321741,325.6493194019609,158.79525130520187,62165.53087447329,57490.59182000253,52.83252502321741,187.2371548729201,171369.27531664268,158.79525130520187,255.01923851188965,281.78921705629676,325.6493194019609
